"conceptid";"preflabel";"modified";"altlabel";"definition"
"MAT00003";"sediment 20000-40000um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids collected on a 20mm sieve after passing through a 40mm sieve."
"MAT00010";"sediment 2500-5000um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids collected on a 2.5mm sieve after passing through a 5mm sieve."
"MAT00017";"sediment 315-630um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids collected on a 315um sieve after passing through a 630um sieve."
"MAT00024";"sediment 40000-70000um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids collected on a 40mm sieve after passing through a 70mm sieve."
"MAT00031";"sediment 50-100um [heavy fraction phase]";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids that sink in bromoform (density 2.89g/cm3) from a sample collected on a 50um sieve after passing through a 100um sieve."
"MAT00038";"sediment 50-100um [light fraction phase]";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids that float in bromoform (density 2.89g/cm3) from a sample collected on a 50um sieve after passing through a 100um sieve."
"MAT00045";"sediment 5000-10000um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids collected on a 5mm sieve after passing through a 10mm sieve."
"MAT00052";"sediment 63-1000um [non-carbonate phase]";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids collected on a 63um sieve after passing through a 1mm sieve that do not include metal carbonates.."
"MAT00059";"sediment 63-1000um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids collected on a 63um sieve after passing through a 1mm sieve."
"MAT00066";"sediment 63-2000um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids collected on a 63um sieve after passing through a 2mm sieve."
"MAT00073";"sediment 630-1250um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids collected on a 630um sieve after passing through a 1.25mm sieve."
"MAT00080";"sediment <2000um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids that pass through a 2mm sieve."
"MAT00087";"sediment <5um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids that pass through a 5um sieve."
"MAT00090";"sediment <2um";"5/16/2016 01:46:24";"";"Disaggregated minerals or mineraloids that pass through a 2um sieve or filter."
"MAT00094";"sediment <63um [non-carbonate phase]";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids that are insoluble in dilute mineral acid and pass through a 63um sieve."
"MAT00101";"sediment <63um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids that pass through a 63um sieve."
"MAT00108";"sediment >5um";"6/3/2014 01:16:35";"";"Disaggregated minerals or mineraloids that are trapped on a 5um filter."
