"conceptid";"preflabel";"modified";"altlabel";"definition"
"S031";"DAPI staining";"4/27/2006 09:10:59";"";"The sample has been stained using DAPI (4',6-diamidino-2-phenylindole), a fluorescent stain that binds strongly to DNA and more weakly to RNA in both live and fixed cells"
"S0310";"incubation";"4/27/2006 09:10:59";"";"The water sample has been retained, usually under controlled conditions, for a predetermined length of time prior to analysis."
"S03100";"filtration, acidification";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air before the solid phase was treated with acid to remove inorganic carbon."
"S03101";"filtration, acidification, combustion";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air before the solid phase was treated with acid to remove inorganic carbon and oxidised by heating in air."
"S03102";"filtration, alkali hydrolysis";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air before the solid phase is hydrolysed by attack with strong alkali."
"S03103";"filtration, acidification, chelation, solvent extraction";"5/27/2010 16:17:35";"";"Physical separation of the solid phase from a volume of water or air before the acidified (pH 1.8-2) liquid phase was treated with a chelating agent (e.g. a dithiocarbamate or EDTA) to form complexes that were stripped out for analysis using a solvent."
"S03104";"filtration, combustion";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air before the solid phase is oxidised by heating in air."
"S03105";"filtration, freon extraction";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air before the metals were stripped from the colloidal phase using a halocarbon."
"S03106";"filtration, in-line preconcentration";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air before the analyte concentration was quantitatively increased to raise detection level."
"S03107";"filtration, incubation";"4/27/2006 09:10:59";"";"The sample has been filtered to exclude plants and/or animals above a certain size before being held, usually under controlled conditions, for a predetermined length of time."
"S03108";"filtration, incubation in natural sunlight, enzyme reduction to DMS";"4/27/2006 09:10:59";"";"The sample has been filtered to remove the solid phase (prevents biological activity) before being retained for a specified period in full natural light. At the end of the incubation an enzyme was added to convert the target analyte (usually DMSO) to dimethylsulphide for assay."
"S03109";"filtration, incubation in natural sunlight, purging, cryogenic trapping";"4/27/2006 09:10:59";"";"The sample was filtered to remove particulates (prevents biological activity) before being held for a predetermined time in full natural light. Dissolved gases were stripped by passing inert gas through the sample and collected in a liquid nitrogen trap."
"S0311";"incubation at constant temperature";"4/27/2006 09:10:59";"";"The water sample is retained at a predetermined constant temperature for a predetermined length of time prior to analysis."
"S03110";"filtration, incubation in the dark, enzyme reduction to DMS";"4/27/2006 09:10:59";"";"The sample has been filtered to remove the solid phase (prevents biological activity) before being retained for a specified period in darkness. At the end of the incubation an enzyme was added to convert the target analyte (usually DMSO) to dimethylsulphide for assay."
"S03111";"filtration, incubation in the dark, purging, cryogenic trapping";"4/27/2006 09:10:59";"";"The sample was filtered to remove particulates (prevents biological activity) before being held for a predetermined time in darkness. Dissolved gases were stripped by passing inert gas through the sample and collected in a liquid nitrogen trap."
"S03112";"filtration, incubation in ultra-violet light, enzyme reduction to DMS";"4/27/2006 09:10:59";"";"The sample has been filtered to remove the solid phase (prevents biological activity) before being retained for a specified period under ultra-violet light. At the end of the incubation an enzyme was added to convert the target analyte (usually DMSO) to dimethylsulphide for assay."
"S03113";"filtration, methanol extraction";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air before the solid phase is mixed with methanol to extract soluble compounds, usually plant pigments."
"S03114";"filtration, no acidification";"2/18/2010 00:05:12";"";"Physical separation of the solid and liquid phases of a water sample. There is explicit information that there was no further treatment on either phase to remove inorganic carbon."
"S03115";"filtration, ortho-phthalaldehyde reaction";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air before reaction of the solid phase with ortho-phthalaldehyde, usually to liberate amino acids."
"S03116";"filtration, oxidation";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air followed by treatment of either phase (or both) with a chemical oxidising agent."
"S03117";"filtration, plating";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air followed by deposition onto a substrate ready for radio-isotope assay."
"S03118";"filtration, purging, cryogenic trapping";"4/27/2006 09:10:59";"";"The sample was filtered to remove particulates (prevents biological activity) before dissolved gases were stripped by passing inert gas through the sample and collected in a liquid nitrogen trap."
"S03119";"filtration, reaction with orthophthalic acid";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air followed by reaction of either phase (or both) with orthophthalic acid."
"S0312";"incubation in filtered seawater";"4/27/2006 09:10:59";"";"Specimens, usually zooplankton, are retained in seawater that has been filtered to remove particulate food items for a predetermined length of time."
"S03120";"filtration, suspension of residue in buffer solution, collection of liberated DMS";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air followed by resuspension of the solid phase in reagents to convert analyte to a dissolved gas that was collected and analysed."
"S03121";"filtration, thin-film preparation";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air before the solid phase is suspended in a fluid, usually water, and evaporated to dryness on a glass slide."
"S03122";"flux-diluted fused bead preparation";"4/27/2006 09:10:59";"";"The sample is mixed with a chemical flux, usually lithium fluoride, and heated to produce a melt which solidifies into a glass bead."
"S03123";"hydrolysis";"2/18/2010 00:05:12";"";"Physical separation of the solid phase from a volume of water or air before one or both phases were subjected to a chemical reaction with reagents that break down molecules by addition of a water molecule, such as strong acids or alkalis."
"S03124";"filtration, hydrolysis";"4/27/2006 09:10:59";"";"Chemical reaction with reagents that break down molecules by addition of a water molecule, such as strong acids or alkalis."
"S03125";"ignition at 400C";"4/27/2006 09:10:59";"";"The sample was heated in air at 400C."
"S03127";"in-situ incubation";"4/27/2006 09:10:59";"";"The sample was retained for a predetermined period on a rig at its location and depth of collection."
"S03128";"in-situ incubation dilution experiment";"4/27/2006 09:10:59";"";"The sample has been taken from one of a series of incubations of a seawater sample at multiple dilutions held on a rig at the depth of sample collection. Usually associated with the quantification of phytoplankton consumption by grazers."
