"conceptid";"preflabel";"modified";"altlabel";"definition"
"025PDJLV";"integral_wrt_time_of_radioactivity_concentration_of_118mIn_in_air";"2/12/2018 16:53:18";"";"The phrase "integral_wrt_X_of_Y" means int Y dX. The data variable should have an axis for X specifying the limits of the integral as bounds. The phrase "wrt" means "with respect to". "Radioactivity" means the number of radioactive decays of a material per second. "Radioactivity concentration" means radioactivity per unit volume of the medium. "In" means the element "indium" and "118mIn" is the metastable state of the isotope "indium-118" with a half-life of 3.05e-03 days."
"02TE7PDC";"tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_wet_deposition";"1/7/2015 16:23:38";"";""Content" indicates a quantity per unit area. The "atmosphere content" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including "content_of_atmosphere_layer" are used. The mass is the total mass of the particles. "Aerosol" means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. Aerosol particles take up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the particles. "Dry aerosol particles" means aerosol particles without any water uptake. "Wet deposition" means deposition by precipitation. "tendency_of_X" means derivative of X with respect to time."
"03FMQBY3";"surface_radioactivity_content_of_77mGe";"2/12/2018 16:53:18";"";"The surface called "surface" means the lower boundary of the atmosphere. "Content" indicates a quantity per unit area. "Radioactivity" means the number of radioactive decays of a material per second. "Ge" means the element "germanium" and "77mGe" is the metastable state of the isotope "germanium-77" with a half-life of 6.27e-04 days."
"03NKJYIC";"radioactivity_concentration_of_231U_in_air";"2/12/2018 16:53:18";"";""Radioactivity" means the number of radioactive decays of a material per second. "Radioactivity concentration" means radioactivity per unit volume of the medium. "U" means the element "uranium" and "231U" is the isotope "uranium-231" with a half-life of 4.29e+00 days."
"03TIMQNC";"pressure_at_effective_cloud_top_defined_by_infrared_radiation";"5/17/2016 16:31:00";"";"The "effective cloud top defined by infrared radiation" is (approximately) the geometric height above the surface that is one optical depth at infrared wavelengths (in the region of 11 micrometers) below the cloud top that would be detected by visible and lidar techniques. Reference: Minnis, P. et al 2011 CERES Edition-2 Cloud Property Retrievals Using TRMM VIRS and Terra and Aqua MODIS Data x2014; Part I: Algorithms IEEE Transactions on Geoscience and Remote Sensing, 49(11), 4374-4400. doi: http://dx.doi.org/10.1109/TGRS.2011.2144601."
"042CV38X";"mole_fraction_of_hfc236fa_in_air";"4/8/2019 19:14:12";"";""Mole fraction" is used in the construction "mole_fraction_of_X_in_Y", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as "nitrogen" or a phrase such as "nox_expressed_as_nitrogen". The chemical formula for hfc236fa is C3H2F6. The IUPAC name for hfc236fa is 1,1,1,3,3,3-hexafluoropropane."
"04GMJ115";"radioactivity_concentration_of_162Gd_in_air";"2/12/2018 16:53:18";"";""Radioactivity" means the number of radioactive decays of a material per second. "Radioactivity concentration" means radioactivity per unit volume of the medium. "Gd" means the element "gadolinium" and "162Gd" is the isotope "gadolinium-162" with a half-life of 6.92e-03 days."
"04U31NUO";"integral_wrt_time_of_radioactivity_concentration_of_247Cm_in_air";"2/12/2018 16:53:18";"";"The phrase "integral_wrt_X_of_Y" means int Y dX. The data variable should have an axis for X specifying the limits of the integral as bounds. The phrase "wrt" means "with respect to". "Radioactivity" means the number of radioactive decays of a material per second. "Radioactivity concentration" means radioactivity per unit volume of the medium. "Cm" means the element "curium" and "247Cm" is the isotope "curium-247" with a half-life of 5.86e+09 days."
"04XZVO7H";"tendency_of_atmosphere_mass_content_of_alkanes_due_to_emission";"1/7/2015 16:23:38";"";""Content" indicates a quantity per unit area. The "atmosphere content" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including "content_of_atmosphere_layer" are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase "due_to_" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. "Emission" means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. the surface of the earth). "Emission" is a process entirely distinct from "re-emission" which is used in some standard names. "tendency_of_X" means derivative of X with respect to time. Alkanes are saturated hydrocarbons, i.e. they do not contain any chemical double bonds. "Hydrocarbon" means a compound containing hydrogen and carbon. Alkanes contain only hydrogen and carbon combined in the general proportions C(n)H(2n+2); "alkanes" is the term used in standard names to describe the group of chemical species having this common structure that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Standard names exist for some individual alkane species, e.g., methane and ethane."
"0580KMBR";"radioactivity_concentration_of_240U_in_air";"2/12/2018 16:53:18";"";""Radioactivity" means the number of radioactive decays of a material per second. "Radioactivity concentration" means radioactivity per unit volume of the medium. "U" means the element "uranium" and "240U" is the isotope "uranium-240" with a half-life of 5.99e-01 days."
