"conceptid";"preflabel";"modified";"altlabel";"definition"
"NETT0001";"Adriatic plankton sampler - Krsinic (1990)";"5/11/2012 11:27:07";"Adriatic plankton sampler";"Construction is a 50 cm diameter cylindrical sampler sent to depth with the cylinder net (0.25 mm mesh) closed and upside down (cod-end facing upward). A messenger releases the bottom margin of cylinder allowing it to drop open (115 cm length) and at the same time closing half circle doors. A second messenger releases the first support bridle and the sampler turns right side up. Sampler collects about 250 litres of water [Wiebe and Benfield 2003 Plate 11 A]."
"NETT0002";"High-speed sampler - Apstein (1906)";"10/21/2011 15:18:49";"Apstein HSS";"Construction is a cylindrical tube with ~2 cm diameter mouth opening expanding to 4 cm diameter in the main body with a filtering surface at the rear.  Overall length ~20 cm [Wiebe and Benfield 2003 Plate 13 A]."
"NETT0003";"Apstein net as described by  Apstein (1896); Dakin (1908)";"4/5/2016 12:49:20";"Apstein net as in Apstein (1896); Dakin (1908)";"Plankton net described as the Apstein net (Apstein 1896; Dakin 1908) [Wiebe & Benfield (2003)]; designed with single circular mouth piece with reducing cone; with measurements:opening diameter (metre)=0.14, non-filtering cone mouth piece length (metre)=0.2, net mouth diameter (metre)=0.4; with opening area (square metre)=0.0154; with total filtering net length (metre)=1; with filtering net shape conical; with additional features: not specified; with mesh size (millimetre)=0.076 (No. 20 silk); and equipped with optional closing mouth mechanism."
"NETT0004";"Autosampling and Recording Instrumental Environmental Sampler - Dunn et al. (1993)";"6/21/2012 15:43:33";"ARIES";"A stretched version of the Lowestoft modified Gulf III (similar to Williams et al., LHPR frame) mounting three sampling systems.  The nose cone had a 35.6 cm diameter opening expanding to 76 cm diameter.  Instead of an LHPR box, a 2000 cm long by 16 cm wide belt was outfitted with 110 6-cm diameter cod-ends with 0.2 mm mesh. A drive motor periodically incremented the belt moving the nets from a feed spool into a position to collect a sample at the back of the net and then onto a take-up spool.  Water samples were collected with 60 250 ml bottles mounted in a carousel similar to a conventional rosette sampler.  A data logger recorded temperature, conductivity, pressure, flow, and sampling events at rates between 1 second and 60 minutes.  User selected plankton and water sampling rates were 1 to 60 minutes.  An acoustical telemetry system transmitted depth for realtime monitoring of the system.  Towing speed is 4-5 kts [Wiebe and Benfield 2003 Plate 27 C]"
"NETT0005";"Automatic high-speed plankton sampler - Williamson (1962, 1963)";"10/21/2011 15:18:49";"Automatic high-speed plankton sampler";"A sampler that has a series of 21 nets attached to the bottom of rectangular "trap doors" which are sequentially closed by means of a cam/screw assembly driven by a ships log (propellor).  Each net is about 6.35 cm long and made of nylon cloth with 23.6 meshes per cm.  The body of the device is 29.2 cm tall x 14 cm wide x 114 cm long not including the side fins. The aperture is 1.9 cm x 1.9 cm  Effective sampling speeds 5 to 11 knots and sample length is 1 to 20 cm."
"NETT0006";"Closing net - Barnes (1953)";"10/21/2011 15:18:49";"Barnes net";"Construction is a hemispherical metal cowling mounted in front of a net ring with an opening sized so that a closing lid can be accommodated when the net is open. A Nansen messenger closing mechanism is used to release the spring loaded closing lid which pivots over the net mouth. No dimensions given for net size or mesh [Wiebe and Benfield 2003 Plate 8 C]."
"NETT0007";"BIOMAPER-II - Wiebe et al (1999, 2002)";"10/21/2011 15:18:49";"BIOMAPER-II";"An integrated instrument platform for coupled biological and physical measurements that has a 5 frequency split-beam acoustic system, a VPR system, an environmental sensing system and a bio-optical system. An electro-optical towing cable is used for two-way data communications and the system can be towed oscillating to depths of 300 m [Wiebe and Benfield 2003 Plate 41 A-E]."
"NETT0008";"BIONESS 1m - Sameoto, Jaroszynski and Fraser (1979, 1980)";"10/21/2011 15:18:49";"BIONESS";"Construction is a 100 cm x 100 cm mouth opening with 10 nets.  The system is powered electrically on conducting wire and controlled from a surface deck unit. Data logging includes depth, roll, pitch, flowmeter revolutions,  temperature and conductivity.  There is also a 1/4 m system. This system has basic design similarities to that of Be MPS system [Wiebe and Benfield 2003 Plate 30 C, D]."
"NETT0009";"Bongo-style vertical closing net  - Brown (1975)";"10/21/2011 15:18:49";"Bongo-style net";"An open pair of 50 cm diameter circular net hoops were mounted on each end of a 150 cm wide cross-strut which was attached to a towing cable.  Nets were attached to the bottom of the hoops and their cod-ends were attached to a spreader bar which was also attached to the wire. The nets were lowered to a maximum depth to haul and then during the haul back to the surface, a messenger was used to close the nets either by releasing the hoops so that they turned 90 degrees or by releasing the nets which fell back and were pursed by throttling lines attached to the cross-strut. A non-opening/closing variant of this net is known as the CalVET net [Wiebe and Benfield 2003 Plate 10 A]."
"NETT0010";"Modified opening-closing Bongo net - Sameoto and Jaroszynski (1976)";"10/21/2011 15:18:49";"Modified Bongo opening-closing net";"A 75 cm diameter reinforced ring held to the wire by the same method as the Octagon Net. The net had a double messenger release mechanism with the first messenger releasing a dacron cloth door blocking the net mouth and the second one releasing the net."
"NETT0011";"Opening-closing Bongo net - McGowan and Brown (1966)";"10/21/2011 15:18:49";"Bongo opening-closing net";"A pair of circular hoops (70 cm diameter  joined by a central axial which was clamped to a cable. A dacron cloth door covered each mouth opening which when released by a messenger, folded into the net mouth.  The nets were 71 cm in diameter, had a non-filtering collar section 84 cm long and a conical net 420 cm long with 0.505 mm mesh.  A flowmeter was present and after a set number of revolutions, caused the nets to be released from the hoops; choke ropes closed them [Wiebe and Benfield 2003 Plate 9 D]."
"NETT0012";"Booby-II neuston net - Bieri and Newbury (1966)";"10/21/2011 15:18:49";"Booby-II net";"Construction is a wooden frame 63 cm wide x 16.5 cm tall x 121 cm long with a pair of Otter board fins extending down 58.5 cm below the top.  Styrofoam plastic used for floatation.  Inside the wooden frame is a metal framework to support a 63 cm x 20 cm rectangular net 100 cm long (number 54 nylon grit gauze). Towed at 1 to 3 kts from the bow of a vessel with bridle attached to the forward side of the frame so that it rides out away from the vessel [Wiebe and Benfield 2003 Plate 20 B]."
"NETT0013";"Bottom plankton sampler - Omori (1969)";"10/21/2011 15:18:49";"Omori BPS";"A 70 x 70 cm rectangular mouth opening net is attached to a sled made of iron (75 cm wide x 90 cm long x 25 cm tall) with a plastic runner on the bottom. The net of 2.0 mm mesh is 350 cm long. A finer mesh netting (330 microns) was used to line the posterior 150 cm to retain smaller zooplankton.  The system is equipped with a messenger operated closing mechanism and a flow meter."
"NETT0014";"Bottom plankton sampler - Macer (1867)";"10/21/2011 15:18:49";"Macer BPS";"Approximately 30 cm x 20 cm mouth opening. Net dimensions or mesh used are not given [Wiebe and Benfield 2003 Plate 23 B]."
"NETT0015";"Bottom skimmer - Frolander and Pratt (1962)";"10/21/2011 15:18:49";"Bottom skimmer";"A double runner sled 46 cm wide x 23 cm tall x 132 cm long with a roller on the forward lower cross strut, sheet lead attached to the bottom near the front, and a pair of metal float balls snap-hooked to the top to keep sled right-side-up. Inside was mounted a Clarke-Bumpus cylinder and net (63.5 cm length). Towed at speeds of 1-2 knots [Wiebe and Benfield 2003 Plate 23 C]."
"NETT0016";"CalCOFI net - Ahlstrom (1948)";"10/21/2011 15:18:49";"CalCOFI net";"A 100 cm diameter ring net about 5 m in length with No. 30 xxx grit gauze (a grade of silk bolting cloth). Netting changed to 505 micron Nitex mesh and then to 333 micron mesh [Wiebe and Benfield 2003 Plate 2 C]."
"NETT0017";"Bary Catcher high-speed plankton sampler - Bary et al. (1958)";"10/21/2011 15:18:49";"Bary Catcher HSS";"Has a 22.9 cm diameter mouth opening behind a closing valve. The tube chamber is 19.5 cm diameter.  The overall length of the outer fiberglass shell is 213 cm. Two metal nets can be used, one with 15.70 meshes per cm and one with 3.9 meshes per cm. Has depth-flowmeter (like that of Currie and Foxton, 1957) in the tail. Towed up to 10 knots. More than one unit can be attached to the wire. Can be used for vertical or horizontal towing [Wiebe and Benfield 2003 Plate 18 B, C]."
"NETT0018";"Catcher II high-speed sampler";"10/21/2011 15:18:49";"Catcher II HSS";"A high-speed, opening-closing plankton sampler."
"NETT0019";"Chun-Peterson net - Chun (1888, 1903)";"10/21/2011 15:18:49";"Chun-Peterson net";"A vertical net lowered closed with propellor-activated opening and closing."
"NETT0020";"Clarke Jet Net high-speed plankton sampler - Clarke (1964)";"10/21/2011 15:18:49";"Clarke Jet Net HSS";"Construction is a 12 cm diameter mouth opening with an overall length of 125 cm. Uses nylon netting with 0.44 mm mesh. Towing speeds up to 10.5 knots [Wiebe and Benfield 2003 Plate 18 E]."
"NETT0021";"Clarke-Bumpus plankton sampler - Clarke and Bumpus (1939, 1950)";"10/21/2011 15:18:49";"Clarke-Bumpus plankton sampler";"Construction is a 12.7 cm diameter mouth opening with cylindrical tube 16.0 cm long. The tube is equipped with flat plate which pivots to open or close the flow through the tube and a flowmeter. A 61 cm long conical net is attached to the rear of the tube [Wiebe and Benfield 2003 Plate 8 A]."
"NETT0022";"Closing midwater trawl - Enzenhofer and Hume (1989)";"10/21/2011 15:18:49";"Enzhofer and Hume CMT";"Construction is a 300 cm x 700 cm rectangular mouth opening with net  1800 cm in length. The net is made from five sets of mesh with coarse mesh at the front and fine mesh at the back (600 cm of 10.2 cm mesh, 400 cm of 5.1 cm mesh, 300 cm of 1.9 cm mesh, 300 cm of 1.3 cm mesh and 200 cm of 0.3 cm mesh). There are two towing cables: one for the top spreader bar and one for the bottom. Each cable goes to separate winch. The net is lowered with tension on bottom spreader so that it is closed. Tension is then transferred to the top spreader to open the net. Tension again taken by lower spreader to close net [Wiebe and Benfield 2003 Plate 12 B]."
"NETT0023";"Closing Net - Hart (1935)";"10/21/2011 15:18:49";"Hart net";"A rod of wood or pipe is outfitted with a combination wire clamp and closing release at the top and a pair of snap hooks at the bottom, one to secure the device to the wire and one to secure the bottom portion of the net. Attached to the rod is a net with a bridle which inserts into the release latch. Midway along the pipe is a second snap hook which is attached to the mid section of the net. Multiples of these units may be attached to the wire at various depth intervals as the wire is lowered vertically into the water.  Plankton collections are made as the nets are hauled up until a messenger hitting the release lets the bridle go, thus closing the net [Wiebe and Benfield 2003 Plate 5 B]."
"NETT0024";"Cod-end sampler - Motoda (1953)";"10/21/2011 15:18:49";"Motoda cod-end sampler";"Construction is a 15.5 cm diameter mouth opening and 35.5 cm long body attached to 57 cm diameter net 200 cm long with bolting cloth 42.5 meshes per inch in upper 120 cm and 56.5 meshes per inch in lower 80 cm [Wiebe and Benfield 2003 Plate 25 A]."
"NETT0025";"Collapsible Rectangular Midwater Trawl 1+8 - Griffiths et al. (1980)";"10/21/2011 15:18:49";"Collapsible RMT 1+8";"The RMT 1+8 system described by Baker was modified to enable handling from smaller vessels without a crane using Kelly's eyes and chain rather than link wire."
"NETT0026";"Continuous Plankton Recorder - Hardy (1926, 1936); Glover (1962)";"10/21/2011 15:18:49";"CPR";"Construction is a 1.27 cm on side square mouth opening (originally 10.1 cm diameter) high-speed (12 to 17 knots) towed body collecting plankton on gauze (22.9 cm wide and 23.6 meshes per cm) rolls. The body is 50 cm wide x 50 cm tall x 100 cm long.  A propellor drives the rollers winding up the gauze.  The system is normally towed at 10 m depth at speeds up to 20 ktnos [Wiebe and Benfield 2003 Plate 19 A, B]."
"NETT0027";"Modified David neuston net - Hempel and Weikert (1972)";"10/21/2011 15:18:49";"Modified David neuston net";"A pair of vertically stacked nets with 30 cm x 15 cm rectangular mouth opening and 0.3 or 0.5 mm mesh [Wiebe and Benfield 2003 Plate 21 B]."
"NETT0028";"DBAD-MOCNESS - Wiebe (1994); Greene (1998)";"10/21/2011 15:18:49";"DBAD-MOCNESS";"A 1-m2 MOCNESS was equipped with a dual-beam echosounder and dual-axis training mechanism for the transducers.  An electro-optical cable was used data telemetry [Wiebe and Benfield 2003 Plate 40 E]."
"NETT0029";"Discrete-depth plankton sampler - Aron et al. (1964)";"10/21/2011 15:18:49";"DDPS";"A cod-end sampler used with IKMT or a 1-m diameter net with underwater electronics to sample depth and temperature operated with single conductor cable. Mark III had 10 or 15 cm diameter opening and four catch chambers [Wiebe and Benfield 2003 Plate 26 B]."
"NETT0030";"Deep-Tow net system - Wishner (1980)";"10/21/2011 15:18:49";"Wishner Deep-Tow net system";"Three rectangular mouth opening nets ~30 cm wide x 44 cm tall and 130 cm long mounted on a metal framework attached to the bottom of the Deep-Tow Instrument . The unobstructed nets were opened/closed by surface command transmitted via conducting cable to a release mechanism [Wiebe and Benfield 2003 Plate 24 A]."
"NETT0031";"Diver tow net - Emery (1968)";"10/21/2011 15:18:49";"Emery diver tow net";"A 30 cm diameter ring net with 0.183 mm mesh towed by diver."
