"conceptid";"preflabel";"modified";"altlabel";"definition"
"EPC00001";"Water body salinity";"10/20/2016 12:27:18";"Salinity";"Salinity of a river, estuary, sea or ocean by any method and on any measurement scale."
"EPC00002";"Water body dissolved oxygen concentration";"10/20/2016 12:27:18";"Oxygen";"Dissolved oxygen per unit volume of a river, estuary, sea or ocean by any method."
"EPC00003";"Water body dissolved oxygen saturation";"10/20/2016 12:27:18";"Oxygen Saturation";"The measured oxygen concentration expressed as a percentage of its theoretical value in a river, estaury, sea or ocean."
"EPC00004";"Water body nitrate";"10/20/2016 12:27:18";"NO3";"Concentration of nitrate per unit volume of a river, estuary, sea or ocean by any method in filtered or unfiltered water."
"EPC00005";"Water body nitrate plus nitrite";"10/20/2016 12:27:18";"NO3+NO2";"Concentration of nitrate plus nitrite per unit volume of a river, estuary, sea or ocean by any method in filtered or unfiltered water."
"EPC00006";"Water body nitrite";"10/20/2016 12:27:18";"NO2";"Concentration of nitrite per unit volume of a river, estuary, sea or ocean by any method in filtered or unfiltered water."
"EPC00007";"Water body phosphate";"10/20/2016 12:27:18";"PO4";"Concentration of phosphate per unit volume of a river, estuary, sea or ocean by any method in filtered or unfiltered water."
"EPC00008";"Water body silicate";"10/20/2016 12:27:18";"SiO4";"Concentration of silicate per unit volume of a river, estuary, sea or ocean by any method in filtered or unfiltered water."
"EPC00009";"Water body ammonium";"10/20/2016 12:27:18";"NH4";"Concentration of ammonium per unit volume of a river, estuary, sea or ocean by any method in filtered or unfiltered water."
"EPC00010";"Water body urea";"10/20/2016 12:27:18";"Urea";"Concentration of urea per unit volume of a river, estuary, sea or ocean by any method in filtered or unfiltered water."
"EPC00011";"Water body dissolved aluminium";"10/20/2016 12:27:18";"Dissolved Al";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00012";"Water body dissolved antimony";"10/20/2016 12:27:18";"Dissolved Sb";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00013";"Water body dissolved arsenic";"10/20/2016 12:27:18";"Dissolved As";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00014";"Water body dissolved barium";"10/20/2016 12:27:18";"Dissolved Ba";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00015";"Water body dissolved beryllium";"10/20/2016 12:27:18";"Dissolved Be";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00016";"Water body dissolved boron";"10/20/2016 12:27:18";"Dissolved B";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00017";"Water body dissolved cadmium";"10/20/2016 12:27:18";"Dissolved Cd";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00018";"Water body dissolved chromium";"10/20/2016 12:27:18";"Dissolved Cr";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00019";"Water body dissolved cobalt";"10/20/2016 12:27:18";"Dissolved Co";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00020";"Water body dissolved copper";"10/20/2016 12:27:18";"Dissolved Cu";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00021";"Water body dissolved iron (total chemical species)";"10/20/2016 12:27:18";"Dissolved total Fe";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type). Total means the element in all possible states of valency and chemical combination."
"EPC00022";"Water body dissolved lead";"10/20/2016 12:27:18";"Dissolved Pb";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00023";"Water body dissolved lithium";"10/20/2016 12:27:18";"Dissolved Li";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type)."
"EPC00024";"Water body dissolved manganese (total chemical species)";"10/20/2016 12:27:18";"Dissolved total Mn";"Concentration of the metal per unit volume of a river, estuary, sea or ocean by any method in filtered water (any filter type). Total means the element in all possible states of valency and chemical combination."
