"conceptid";"preflabel";"modified";"altlabel";"definition"
"S050001";"protocol of Rasmussen et al. (2006)";"6/30/2008 11:07:25";"";"Protocol described in Rasmussen, S.O. et al. (2006), A new Greenland ice core chronology for the last glacial termination. Journal of Geophysical Research, 111, D06102."
"S050002";"computation of Blundell and Barber (2005)";"9/10/2015 01:52:27";"";"Computation described in Blundell and K. Barber (2005), A 2800-year palaeoclimatic record from Tore Hill Moss, Strathspey, Scotland: the need for a multi-proxy approach to peat-based climate reconstructions, Quaternary Science Reviews 24, pp.1261-1277."
"S050003";"not specified";"9/1/2015 12:59:23";"";"There is no information available on the post-analysis data-processing protocol used to obtain the observable property measurement."
"S050004";"lipid normalisation (wet weight cct/lipid proportion)";"9/10/2015 01:56:58";"";"The wet weight concentration is divided by the proportion of lipids in the sample"
"S050005";"lipid normalisation (wet weight cct/lipid proportion) and weaning correction";"9/10/2015 01:59:32";"";"The wet weight concentration is divided by the proportion of lipids in the sample and value obtained is adjusted for samples taken from weaned pups."
"S050006";"corrected for the detrital contribution";"11/12/2015 16:43:21";"";""
"S050007";"decay correction to sampling time";"11/12/2015 16:44:30";"";""
"S050008";"concentration to activity conversion based on half life";"11/12/2015 16:45:01";"";""
"S050009";"computation";"4/15/2016 19:43:41";"";"The result has been produced using a mathematical calculation that should be described in the usage metadata."
"S050010";"calibration against sample data";"5/16/2016 15:11:47";"";"The sensor has been calibrated against discrete measurements of the observed property."
"S050011";"corrected for the dissolution of lithogenic minerals";"10/17/2016 17:03:17";"";""
"S050012";"processed following the protocol of Yentsch+Menzel";"11/9/2016 17:49:37";"";"Protocol described in Yentsch, C.S. and Menzel, D.W. (1963), A method for determination of phytoplankton chlorophyll and phaeophytin by fluorescence. Deep-Sea Research, 10, 221-231."
"S050013";"no calibration against sample data";"11/9/2016 17:49:37";"";"The sensor has not been calibrated against discrete measurements of the observed property."
"S050014";"calibration against Ca analyses with correction for chlorophyll interference";"11/9/2016 17:49:37";"";"Calibration of green-light transmissometer against Ca analyses with chl interference correction."
"S050015";"laboratory calibration applied";"11/9/2016 17:49:37";"";"The sensor has been calibrated using a calibration determined on the sensor in the laboratory."
"S050016";"summation of size-fractionated values";"11/9/2016 17:49:37";"";"Sum of measurements made on each filter in a filter cascade."
"S050017";"computation from the ratio of upwelled irradiance at 490 and 570 nm";"11/9/2016 17:49:37";"";"Computed from the ratio of upwelled irradiance at 490 and 570 nm."
